Lap,Time,Cumulative Time,Distance,Cumulative Distance,Avg Speed,Avg HR,Max HR,Total Ascent,Total Descent,Avg Cadence,Max Cadence,NP,Balance Left %,Balance Right %,Avg Power,Avg w/Kg,Max power,Max w/Kg,Max Avg Power 20 min,Total Standing Time,Avg Standing Power,Max Standing Power,Total Seated Time,Avg Seated Power,Max Seated Power,L Power Phase Start Angle,L Power Phase End Angle,R Power Phase Start Angle,R Power Phase End Angle,L Power Phase Arc length,R Power Phase Arc length,L Peak Power Phase Start Angle,L Peak Power Phase End Angle,R Peak Power Phase Start Angle,R Peak Power Phase End Angle,L Peak Power Phase Arc length,R Peak power Phase Arc Length,L PCO Average,R PCO Average,Calories,Avg Temperature,Max Speed,Moving Time,Avg Moving Speed
25,20:00,4:51:14,3.97,64.93,11.9,149,155,597,36,87,113,218,56,45,211,2.57,378,4.61,--,0:32,356,354,19:28,227,378,352,201,356,200,208,203,60,121,63,124,60,60,0,0,281,91.4,26.7,20:00,11.9
26,08:18.2,4:59:32,0.9,65.83,6.5,151,155,295,0,76,104,214,54,46,211,2.57,349,4.25,--,0:39,306,349,7:39,231,310,354,194,357,200,198,201,59,120,65,124,60,59,0,0,116,91.4,9.7,8:17,6.5
27,20:00,5:19:32,5.28,71.11,15.8,135,155,364,823,77,111,184,54,46,186,2.27,382,4.66,--,0:14,338,305,19:46,218,382,354,200,0,203,204,203,58,120,62,124,62,62,0,0,185,93.2,35.1,20:00,15.8
28,20:00,5:39:32,3.39,74.5,10.2,133,152,354,325,77,110,161,55,45,169,2.06,385,4.69,--,0:14,411,385,19:46,184,354,357,200,0,200,201,200,59,120,60,124,60,63,0,0,165,96.8,30.5,17:07,11.9
29,06:20.0,5:45:52,1.85,76.35,17.5,129,146,89,256,85,107,148,59,41,149,1.82,287,3.5,--,--,--,--,--,161,287,353,197,3,198,203,195,59,118,65,124,59,59,0,0,49,100.4,35.2,6:19,17.6
30,10:28,5:56:21,0.96,77.31,5.5,148,152,397,0,66,102,214,53,47,212,2.58,357,4.35,--,0:21,287,262,10:07,241,357,356,195,357,201,198,203,56,118,62,121,62,59,0,0,148,100.4,10.4,10:28,5.5
31,06:35.9,6:02:56,2.29,79.6,20.8,116,152,7,564,69,100,96,53,47,114,1.39,316,3.85,--,--,--,--,--,151,316,357,200,1,190,201,188,58,129,62,120,72,58,0,0,17,96.8,33.4,6:32,21.1
Summary,6:02:56,6:02:56,79.6,79.6,13.2,136,164,"7,274","7,280",79,116,202,54,46,196,2.39,532,6.48,256,6:48,344,385,5:56:08,221,532,353,201,356,203,207,205,58,121,60,125,63,65,0,0,"3,831",81.4,57.1,5:51:34,13.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodmen KOM #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Valley KOM #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rossmere KOM #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
